# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1393466
#@/user_id	jysperm
a 	ㄚ	c=1 d=5.42744e-76 t=1393466
a 	呵	c=1 d=0 t=1393466
a 	啊	c=877 d=3.69857 t=1393466
a 	阿	c=11 d=5.19851e-69 t=1393466
a a 	啊啊	c=1 d=1.5816e-11 t=1393466
a bi 	阿比	c=0 d=1.65069e-15 t=1393466
a bo 	阿伯	c=0 d=4.31889e-95 t=1393466
a bu 	阿布	c=13 d=1.35847e-16 t=1393466
a bu neng gao ding 	阿布能搞定	c=1 d=1 t=1314293
a che 	啊車	c=1 d=5.66342e-253 t=1393466
a chou ti ou niao 	啊抽屜鷗鳥	c=1 d=1.44504e-125 t=1393466
a da wan 	啊打完	c=1 d=8.7144e-176 t=1393466
a dao 	啊到	c=1 d=0 t=1393466
a de 	阿德	c=9 d=2.11277e-94 t=1393466
a dou 	阿斗	c=2 d=8.00078e-260 t=1393466
a fa 	阿伐	c=0 d=0 t=1393466
a fan da 	阿凡達	c=2 d=0.018968 t=1393466
a fei 	阿飛	c=1 d=1.92443e-25 t=1393466
a gong 	阿公	c=0 d=8.67859e-158 t=1393466
a hong 	阿訇	c=0 d=1.82958e-49 t=1393466
a hu si 	阿胡斯	c=1 d=1.84967e-147 t=1393466
a hui 	啊會	c=1 d=0 t=1393466
a jiu 	阿舅	c=1 d=0 t=1393466
a ka 	阿卡	c=0 d=9.04633e-205 t=1393466
a kai qi 	啊開啓	c=1 d=2.31444e-284 t=1393466
a kui na 	阿奎那	c=0 d=0 t=1393466
a la 	阿拉	c=1 d=9.10302e-14 t=1393466
a la bi ka 	阿拉比卡	c=2 d=9.14865e-13 t=1393466
a la ding 	阿拉丁	c=2 d=1.48899e-07 t=1393466
a li 	阿狸	c=2 d=7.12134e-07 t=1393466
a li 	阿里	c=132 d=0.0810584 t=1393466
a li ba ba 	阿里巴巴	c=11 d=3.81243e-09 t=1393466
a li ma ma 	阿里媽媽	c=2 d=0.000660112 t=1393466
a li shuo 	阿里說	c=1 d=0 t=1393466
a li xi 	阿里系	c=1 d=0 t=1393466
a li yun 	阿里雲	c=108 d=0.814647 t=1393466
a ma feng wo 	啊馬蜂窩	c=1 d=1.958e-287 t=1393466
a mei fa 	啊沒法	c=7 d=5.2918e-43 t=1393466
a mi 	阿彌	c=1 d=5.37566e-169 t=1393466
a mo xi lin 	阿莫西林	c=1 d=9.14317e-241 t=1393466
a na zhao 	啊那找	c=2 d=1.7922e-158 t=1393466
a po 	阿婆	c=1 d=0 t=1393466
a sen na 	阿森納	c=0 d=1.63032e-16 t=1393466
a sheng 	啊昇	c=1 d=3.57908e-60 t=1393466
a si dun 	阿斯頓	c=1 d=2.29434e-64 t=1393466
a su 	阿蘇	c=0 d=0 t=1393466
a ti 	阿嚏	c=0 d=0 t=1393466
a tiao kuan 	啊條款	c=1 d=3.75518e-125 t=1393466
a tong ming 	啊同名	c=1 d=3.93953e-130 t=1393466
a tuo pin 	阿托品	c=1 d=0 t=1393466
a wei ni si 	啊威尼斯	c=1 d=0 t=1393466
a xian 	阿咸	c=1 d=0 t=1393466
a xin 	阿信	c=0 d=0 t=1393466
a yi 	阿姨	c=13 d=4.79832e-09 t=1393466
a yin 	啊因	c=1 d=0 t=1393466
a yo 	啊唷	c=0 d=2.08329e-18 t=1393466
a yong hu 	啊用戶	c=1 d=1.88632e-25 t=1393466
a yu nan zhe 	啊遇難者	c=1 d=3.49071e-60 t=1393466
a zai 	啊在	c=1 d=3.2655e-187 t=1393466
a ze 	啊則	c=1 d=1.69363e-22 t=1393466
a zhi 	阿志	c=0 d=0 t=1393466
a zi 	阿紫	c=15 d=2.07961e-56 t=1393466
ai 	哎	c=11 d=1.76114e-127 t=1393466
ai 	唉	c=386 d=0.139529 t=1393466
ai 	噯	c=1 d=0 t=1393466
ai 	愛	c=35 d=0.0287246 t=1393466
ai 	捱	c=1 d=1.35908e-80 t=1393466
ai 	癌	c=1 d=1.0262e-157 t=1393466
ai 	矮	c=1 d=5.94329e-216 t=1393466
ai 	礙	c=1 d=0 t=1393466
ai 	艾	c=6 d=1.91078e-191 t=1393466
ai bian 	挨邊	c=4 d=2.83008e-24 t=1393466
ai bu 	愛不	c=0 d=0 t=1393466
ai bu qi lai 	愛不起來	c=1 d=0 t=1393466
ai chi 	愛吃	c=11 d=9.32522e-33 t=1393466
ai da 	捱打	c=1 d=1.06268e-215 t=1393466
ai da bu li 	愛答不理	c=1 d=1.80677e-165 t=1393466
ai dang 	愛黨	c=2 d=1.87935e-99 t=1393466
ai dao de 	挨刀的	c=1 d=1 t=1339939
ai de 	愛得	c=2 d=0 t=1393466
ai er lan 	愛爾蘭	c=2 d=2.16205e-137 t=1393466
ai ge 	挨個	c=17 d=2.23929e-43 t=1393466
